order_item_id,order_id,product_id,quantity,unit_price,subtotal
130,42,12,1,347.83,347.83
131,43,5,4,147.25,589
132,43,14,5,56.79,283.95
133,43,4,3,84.09,252.27
134,44,6,1,199.57,199.57
135,44,4,5,84.09,420.45
136,44,3,2,141.61,283.22
137,45,15,2,257.75,515.5
138,45,19,5,213.58,1067.9
139,45,20,2,100.04,200.08
140,46,17,1,438.7,438.7
141,46,4,3,84.09,252.27
142,47,17,2,438.7,877.4
143,47,14,1,56.79,56.79
144,47,3,1,141.61,141.61
145,48,10,2,356.44,712.88
146,48,2,3,21.23,63.69
147,49,5,5,147.25,736.25
148,50,2,3,21.23,63.69
149,50,14,1,56.79,56.79
150,51,3,4,141.61,566.44
151,51,12,2,347.83,695.66
152,51,12,2,347.83,695.66
153,51,17,2,438.7,877.4
154,51,16,4,429.76,1719.04
155,52,8,5,110.16,550.8
156,52,20,4,100.04,400.16
157,52,3,4,141.61,566.44
158,53,3,5,141.61,708.05
159,53,20,3,100.04,300.12
160,54,7,4,378.2,1512.8
161,55,8,2,110.16,220.32
162,55,16,2,429.76,859.52
163,55,19,5,213.58,1067.9
164,55,3,2,141.61,283.22
165,55,20,5,100.04,500.2
166,56,16,2,429.76,859.52
167,56,13,4,471.94,1887.76
168,56,18,4,24.74,98.96
169,56,18,4,24.74,98.96
170,57,14,5,56.79,283.95
171,57,8,4,110.16,440.64
172,58,5,5,147.25,736.25
173,58,8,4,110.16,440.64
174,58,17,4,438.7,1754.8
175,59,1,1,289.02,289.02
176,59,4,3,84.09,252.27
177,60,3,5,141.61,708.05
178,60,11,5,155.11,775.55
179,60,8,4,110.16,440.64
180,60,15,2,257.75,515.5
181,60,1,2,289.02,578.04
182,61,8,4,110.16,440.64
183,61,12,1,347.83,347.83
184,62,10,5,356.44,1782.2
185,62,9,2,361.9,723.8
186,63,14,3,56.79,170.37
187,63,5,2,147.25,294.5
188,64,4,5,84.09,420.45
189,64,14,1,56.79,56.79
190,64,18,1,24.74,24.74
191,64,20,4,100.04,400.16
192,65,4,3,84.09,252.27
193,65,10,3,356.44,1069.32
194,65,5,1,147.25,147.25
195,65,9,2,361.9,723.8
196,65,19,3,213.58,640.74
197,66,20,1,100.04,100.04
198,66,17,2,438.7,877.4
199,66,5,5,147.25,736.25
200,66,11,1,155.11,155.11
201,67,16,2,429.76,859.52
202,68,19,1,213.58,213.58
203,68,12,5,347.83,1739.15
204,69,15,3,257.75,773.25
205,69,18,4,24.74,98.96
206,69,10,2,356.44,712.88
207,69,5,5,147.25,736.25
208,70,16,4,429.76,1719.04
209,70,6,4,199.57,798.28
210,70,15,4,257.75,1031
211,70,16,4,429.76,1719.04
212,70,16,5,429.76,2148.8
213,71,5,2,147.25,294.5
214,71,8,3,110.16,330.48
215,72,19,5,213.58,1067.9
216,72,19,3,213.58,640.74
217,73,3,3,141.61,424.83
218,73,8,5,110.16,550.8
219,73,4,5,84.09,420.45
220,74,3,4,141.61,566.44
221,75,11,2,155.11,310.22
222,76,9,3,361.9,1085.7
223,76,2,3,21.23,63.69
224,76,14,5,56.79,283.95
225,76,20,2,100.04,200.08
226,77,14,4,56.79,227.16
227,77,18,1,24.74,24.74
228,77,8,3,110.16,330.48
229,77,14,2,56.79,113.58
230,77,9,2,361.9,723.8
231,78,6,1,199.57,199.57
232,79,10,1,356.44,356.44
233,80,12,5,347.83,1739.15
234,81,10,3,356.44,1069.32
235,81,18,2,24.74,49.48
236,81,7,5,378.2,1891
237,82,19,2,213.58,427.16
238,83,12,5,347.83,1739.15
239,83,14,4,56.79,227.16
240,83,4,3,84.09,252.27
241,83,16,5,429.76,2148.8
242,84,4,5,84.09,420.45
243,84,6,5,199.57,997.85
244,84,18,1,24.74,24.74
245,85,8,2,110.16,220.32
246,85,18,4,24.74,98.96
247,85,13,1,471.94,471.94
248,85,6,1,199.57,199.57
249,85,18,1,24.74,24.74
250,86,18,3,24.74,74.22
251,87,10,4,356.44,1425.76
252,88,6,1,199.57,199.57
253,88,14,1,56.79,56.79
254,88,5,4,147.25,589
255,88,13,1,471.94,471.94
256,89,9,3,361.9,1085.7
257,89,15,5,257.75,1288.75
258,90,11,2,155.11,310.22
259,91,17,5,438.7,2193.5
260,91,12,1,347.83,347.83
261,91,10,2,356.44,712.88
262,91,15,1,257.75,257.75
263,91,11,2,155.11,310.22
264,92,17,2,438.7,877.4
265,92,19,4,213.58,854.32
266,92,11,5,155.11,775.55
267,92,15,1,257.75,257.75
268,92,6,3,199.57,598.71
269,93,9,1,361.9,361.9
270,93,6,4,199.57,798.28
271,93,11,1,155.11,155.11
272,93,1,4,289.02,1156.08
273,93,14,4,56.79,227.16
274,94,15,2,257.75,515.5
275,94,12,2,347.83,695.66
276,94,12,2,347.83,695.66
277,94,15,1,257.75,257.75
278,94,15,5,257.75,1288.75
279,95,20,5,100.04,500.2
280,95,11,5,155.11,775.55
281,95,19,3,213.58,640.74
282,95,9,3,361.9,1085.7
283,95,4,4,84.09,336.36
284,96,8,3,110.16,330.48
285,96,14,5,56.79,283.95
286,96,15,5,257.75,1288.75
287,97,16,3,429.76,1289.28
288,97,13,2,471.94,943.88
289,98,7,5,378.2,1891
290,98,19,4,213.58,854.32
291,99,8,2,110.16,220.32
292,99,11,1,155.11,155.11
293,99,10,2,356.44,712.88
294,99,10,3,356.44,1069.32
295,100,8,2,110.16,220.32
296,100,14,4,56.79,227.16
297,100,20,4,100.04,400.16
