order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
56,ORD-20230530-00056,13,2023-05-30,delivered,2945.2,8,180,618.49,3508.07,debit_card,pickup,,
57,ORD-20240220-00057,16,2024-02-20,cancelled,724.59,6,300,152.16,1133.27,paypal,pickup,,Nota del cliente: Envolver para regalo
58,ORD-20241025-00058,10,2024-10-25,pending,2931.69,0,310,615.65,3857.34,paypal,express,,
59,ORD-20241005-00059,26,2024-10-05,cancelled,541.29,20,240,113.67,786.7,debit_card,same_day,,
60,ORD-20240526-00060,16,2024-05-26,cancelled,3017.78,17,0,633.73,3138.49,bank_transfer,standard,,
61,ORD-20260226-00061,27,2026-02-26,pending,788.47,18,100,165.58,912.13,bank_transfer,same_day,,
62,ORD-20240108-00062,24,2024-01-08,pending,2506,9,350,526.26,3156.72,credit_card,pickup,,
63,ORD-20251221-00063,29,2025-12-21,shipped,464.87,20,270,97.62,739.52,credit_card,pickup,,
64,ORD-20230427-00064,20,2023-04-27,cancelled,902.14,18,430,189.45,1359.2,paypal,same_day,,
65,ORD-20240919-00065,16,2024-09-19,shipped,2833.38,20,380,595.01,3241.71,cash_on_delivery,pickup,,
66,ORD-20240103-00066,5,2024-01-03,delivered,1868.8,14,270,392.45,2269.62,paypal,express,2,
67,ORD-20240626-00067,34,2024-06-26,processing,859.52,6,440,180.5,1428.45,credit_card,same_day,,
68,ORD-20260427-00068,12,2026-04-27,delivered,1952.73,7,210,410.07,2436.11,paypal,express,,Nota del cliente: Llamar antes
69,ORD-20260115-00069,28,2026-01-15,processing,2321.34,5,490,487.48,3182.75,paypal,pickup,,
70,ORD-20260219-00070,23,2026-02-19,delivered,7416.16,9,470,1557.39,8776.1,credit_card,pickup,4,Nota del cliente: Dejar en portería
71,ORD-20250213-00071,2,2025-02-13,delivered,624.98,14,20,131.25,688.73,debit_card,standard,,
72,ORD-20241207-00072,7,2024-12-07,cancelled,1708.64,15,350,358.81,2161.15,cash_on_delivery,express,4,Nota del cliente: Llamar antes
73,ORD-20260426-00073,10,2026-04-26,shipped,1396.08,10,50,293.18,1599.65,cash_on_delivery,pickup,,
74,ORD-20230723-00074,6,2023-07-23,shipped,566.44,2,180,118.95,854.06,bank_transfer,pickup,,
75,ORD-20250312-00075,27,2025-03-12,delivered,310.22,15,480,65.15,808.84,debit_card,pickup,8,
76,ORD-20231227-00076,5,2023-12-27,delivered,1633.42,10,140,343.02,1953.1,paypal,pickup,9,Nota del cliente: Envolver para regalo
77,ORD-20250421-00077,19,2025-04-21,pending,1419.76,5,220,298.15,1866.92,cash_on_delivery,express,,Nota del cliente: Envolver para regalo
78,ORD-20240901-00078,5,2024-09-01,delivered,199.57,11,170,41.91,389.53,paypal,pickup,,
79,ORD-20241103-00079,3,2024-11-03,cancelled,356.44,18,190,74.85,557.13,bank_transfer,express,,
80,ORD-20230903-00080,21,2023-09-03,pending,1739.15,16,150,365.22,1976.11,credit_card,standard,8,
81,ORD-20230101-00081,1,2023-01-01,shipped,3009.8,3,400,632.06,3951.57,paypal,pickup,8,
82,ORD-20231101-00082,7,2023-11-01,pending,427.16,11,290,89.7,759.87,cash_on_delivery,standard,,
83,ORD-20240224-00083,8,2024-02-24,processing,4367.38,18,90,917.15,4588.4,paypal,express,,
84,ORD-20230623-00084,32,2023-06-23,pending,1443.04,20,40,303.04,1497.47,debit_card,standard,,
85,ORD-20260102-00085,2,2026-01-02,delivered,1015.53,16,280,213.26,1346.31,credit_card,same_day,,
86,ORD-20230329-00086,4,2023-03-29,pending,74.22,2,20,15.59,108.33,credit_card,express,1,Nota del cliente: Entregar por la tarde
87,ORD-20250907-00087,30,2025-09-07,processing,1425.76,14,250,299.41,1775.56,paypal,same_day,,
88,ORD-20240601-00088,24,2024-06-01,delivered,1317.3,5,420,276.63,1948.07,debit_card,same_day,,
89,ORD-20241030-00089,6,2024-10-30,cancelled,2374.45,16,190,498.63,2683.17,credit_card,pickup,8,
90,ORD-20230414-00090,5,2023-04-14,cancelled,310.22,3,440,65.15,806.06,credit_card,standard,1,
91,ORD-20230505-00091,22,2023-05-05,cancelled,3822.18,15,270,802.66,4321.51,bank_transfer,express,,
92,ORD-20250428-00092,2,2025-04-28,cancelled,3363.73,20,90,706.38,3487.36,paypal,express,4,Nota del cliente: Envolver para regalo
93,ORD-20240309-00093,29,2024-03-09,delivered,2698.53,16,30,566.69,2863.46,credit_card,standard,9,
94,ORD-20230107-00094,4,2023-01-07,processing,3453.32,10,80,725.2,3913.19,cash_on_delivery,standard,,
95,ORD-20260114-00095,6,2026-01-14,cancelled,3338.55,5,130,701.1,4002.72,paypal,express,,
96,ORD-20251002-00096,23,2025-10-02,shipped,1903.18,14,210,399.67,2246.4,cash_on_delivery,express,,
97,ORD-20241114-00097,9,2024-11-14,shipped,2233.16,0,400,468.96,3102.12,credit_card,standard,,
98,ORD-20241126-00098,23,2024-11-26,cancelled,2745.32,18,480,576.52,3307.68,credit_card,standard,,
99,ORD-20230323-00099,30,2023-03-23,processing,2157.63,13,240,453.1,2570.24,cash_on_delivery,express,,
100,ORD-20230616-00100,34,2023-06-16,cancelled,847.64,15,230,178,1128.49,bank_transfer,standard,,
